search,ICD9,ICD9 Description
R0902,799.02,Hypoxemia
I259,414.8,Other specified forms of chronic ischemic heart disease
T800XXS,909.3,Late effect of complications of surgical and medical care
C61,185,Malignant neoplasm of prostate
D126,211.3,Benign neoplasm of colon
Z048,V68.2,Request for expert evidence
R011,785.2,Undiagnosed cardiac murmurs
F17203,292,Drug withdrawal
R008,785.3,Other abnormal heart sounds
R569,780.39,Other convulsions
E861,276.52,Hypovolemia
R590,785.6,Enlargement of lymph nodes
C189,153.9,"Malignant neoplasm of colon, unspecified site"
E878,276.9,Electrolyte and fluid disorders not elsewhere classified
R109,789,"Abdominal pain, unspecified site"
G5791,355.8,"Mononeuritis of lower limb, unspecified"
M1711,715.16,"Osteoarthrosis, localized, primary, lower leg"
G92,323.71,Toxic encephalitis and encephalomyelitis
L7632,998.12,Hematoma complicating a procedure
Z1159,V73.0,Screening examination for poliomyelitis
I454,426.5,"Bundle branch block, unspecified"
T81718A,997.2,"Peripheral vascular complications, not elsewhere classified"
R6521,785.52,Septic shock
Z03818,V71.83,Observation and evaluation for suspected exposure to other biological agent
Z96653,V43.65,Knee joint replacement
Z79890,V07.4,Hormone replacement therapy (postmenopausal)
V5873,V58.73,"Aftercare following surgery of the circulatory system, NEC"
42840,428.4,"Combined systolic and diastolic heart failure, unspecified"
7930,793,Nonspecific (abnormal) findings on radiological and other examination of skull and head
91,9.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
42741,427.41,Ventricular fibrillation
6826,682.6,"Cellulitis and abscess of leg, except foot"
56200,562,Diverticulosis of small intestine (without mention of hemorrhage)
42652,426.52,Right bundle branch block and left anterior fascicular block
7937,793.7,Nonspecific (abnormal) findings on radiological and other examination of musculoskeletal system
7230,723,Spinal stenosis in cervical region
78096,780.96,Generalized pain
3082,308.2,Predominant psychomotor disturbance
7841,784.1,Throat pain
5845,584.5,Acute kidney failure with lesion of tubular necrosis
7848,784.8,Hemorrhage from throat
41010,410.1,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
7932,793.2,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
45381,453.81,Acute venous embolism and thrombosis of superficial veins of upper extremity
43490,434.9,"Cerebral artery occlusion, unspecified without mention of cerebral infarction"
Z4509,V53.39,Fitting and adjustment of other cardiac device
Z953,V42.2,Heart valve replaced by transplant
J939,512.89,Other pneumothorax
Q386,750.26,Other specified anomalies of mouth
Z0389,V71.89,Observation and evaluation for other specified suspected conditions
T17908A,934.9,"Foreign body in respiratory tree, unspecified"
J929,511,Pleurisy without mention of effusion or current tuberculosis
R12,787.1,Heartburn
R34,788.5,Oliguria and anuria
S301XXS,906.3,Late effect of contusion
F10231,291,Alcohol withdrawal delirium
E213,252,"Hyperparathyroidism, unspecified"
R9430,794.3,"Abnormal cardiovascular function study, unspecified"
R7302,790.22,Impaired glucose tolerance test (oral)
R760,795.79,Other and unspecified nonspecific immunological findings
I4589,426.89,Other specified conduction disorders
I270,416,Primary pulmonary hypertension
I5189,429.81,Other disorders of papillary muscle
J301,477,Allergic rhinitis due to pollen
42610,426.1,"Atrioventricular block, unspecified"
42091,420.91,Acute idiopathic pericarditis
41404,414.04,Coronary atherosclerosis of artery bypass graft
71946,719.46,"Pain in joint, lower leg"
73679,736.79,Other acquired deformities of ankle and foot
45184,451.84,"Phlebitis and thrombophlebitis of upper extremities, unspecified"
72887,728.87,Muscle weakness (generalized)
4429,442.9,Aneurysm of unspecified site
79430,794.3,"Abnormal cardiovascular function study, unspecified"
43320,433.2,Occlusion and stenosis of vertebral artery without mention of cerebral infarction
1890,189,"Malignant neoplasm of kidney, except pelvis"
V5889,V58.89,Other specified aftercare
2849,284.9,"Aplastic anemia, unspecified"
N178,584.8,Acute kidney failure with other specified pathological lesion in kidney
Z45010,V53.31,Fitting and adjustment of cardiac pacemaker
Z418,V50.8,Other elective surgery for purposes other than remedying health states
I348,424,Mitral valve disorders
M7981,729.92,Nontraumatic hematoma of soft tissue
Z09,V67.00,"Follow-up examination, following surgery, unspecified"
R69,799.89,Other ill-defined conditions
Z539,V64.3,Procedure not carried out for other reasons
Z5189,V58.89,Other specified aftercare
R0489,786.39,Other hemoptysis
R846,792.9,Other nonspecific abnormal findings in body substances
I359,424.1,Aortic valve disorders
R0689,784.99,Other symptoms involving head and neck
K639,569.9,Unspecified disorder of intestine
R112,787.01,Nausea with vomiting
R410,780.97,Altered mental status
R61,780.8,Generalized hyperhidrosis
J986,519.4,Disorders of diaphragm
Z7989,V58.69,Long-term (current) use of other medications
C3491,162.9,"Malignant neoplasm of bronchus and lung, unspecified"
2396,239.6,Neoplasm of unspecified nature of brain
V667,V66.7,Encounter for palliative care
60021,600.21,Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
45183,451.83,Phlebitis and thrombophlebitis of deep veins of upper extremities
92400,924,Contusion of thigh
I349,424,Mitral valve disorders
41402,414.02,Coronary atherosclerosis of autologous vein bypass graft
27730,277.3,"Amyloidosis, unspecified"
N139,599.6,"Urinary obstruction, unspecified"
Z9911,V46.11,"Dependence on respirator, status"
I998,459.89,Other specified disorders of circulatory system
R140,787.3,"Flatulence, eructation, and gas pain"
I071,397,Diseases of tricuspid valve
I97410,998.11,Hemorrhage complicating a procedure
J3081,477.2,Allergic rhinitis due to animal (cat) (dog) hair and dander
K589,564.1,Irritable bowel syndrome
J61,501,Asbestosis
K2210,530.2,Ulcer of esophagus without bleeding
C20,154.1,Malignant neoplasm of rectum
I729,442.9,Aneurysm of unspecified site
I6381,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction"
I82409,453.4,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
L089,686.9,Unspecified local infection of skin and subcutaneous tissue
R1031,789.03,"Abdominal pain, right lower quadrant"
C9200,205,"Acute myeloid leukemia, without mention of having achieved remission"
M5090,722.91,"Other and unspecified disc disorder, cervical region"
5920,592,Calculus of kidney
78907,789.07,"Abdominal pain, generalized"
78602,786.02,Orthopnea
99791,997.91,"Complications affecting other specified body systems, not elsewhere classified, hypertension"
5932,593.2,"Cyst of kidney, acquired"
586,586,"Renal failure, unspecified"
7993,799.3,"Debility, unspecified"
4550,455,Internal hemorrhoids without mention of complication
4272,427.2,"Paroxysmal tachycardia, unspecified"
4401,440.1,Atherosclerosis of renal artery
2808,280.8,Other specified iron deficiency anemias
4111,411.1,Intermediate coronary syndrome
E8352,275.42,Hypercalcemia
E138,249.9,"Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified"
C9112,204.12,"Chronic lymphoid leukemia, in relapse"
J42,491.9,Unspecified chronic bronchitis
T148,924.8,"Contusion of multiple sites, not elsewhere classified"
M5430,724.3,Sciatica
N398,599.89,Other specified disorders of urinary tract
J9622,518.53,Acute and chronic respiratory failure following trauma and surgery
N19,586,"Renal failure, unspecified"
K649,455.6,Unspecified hemorrhoids without mention of complication
I770,447,"Arteriovenous fistula, acquired"
I453,426.54,Trifascicular block
J84114,516.33,Acute interstitial pneumonitis
S0990XA,873.8,Other and unspecified open wound of head without mention of complication
I469,427.5,Cardiac arrest
7904,790.4,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
78862,788.62,Slowing of urinary stream
45340,453.4,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
3542,354.2,Lesion of ulnar nerve
V1259,V12.59,Personal history of other diseases of circulatory system
34831,348.31,Metabolic encephalopathy
4258,425.8,Cardiomyopathy in other diseases classified elsewhere
D6489,285.8,Other specified anemias
I97110,429.4,Functional disturbances following cardiac surgery
R32,788.3,"Urinary incontinence, unspecified"
I82491,453.42,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
K5792,562.11,Diverticulitis of colon (without mention of hemorrhage)
I82612,453.81,Acute venous embolism and thrombosis of superficial veins of upper extremity
R740,790.4,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
G9341,348.31,Metabolic encephalopathy
E0590,242.9,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
I368,424.2,"Tricuspid valve disorders, specified as nonrheumatic"
D89811,279.52,Chronic graft-versus-host disease
